YEAR_ID,YEAR_DESC
NULL,BIRTHW1928
1911,BIRTH1911
1914,BIRTH1914
1918,BIRTH1918
1920,BIRTH1920
1921,BIRTH1921
1922,BIRTH1922
1923,BIRTH1923
1925,BIRTH1925
1928,BIRTH1928
1929,BIRTH1929
1931,BIRTH1931
1932,BIRTH1932
1933,BIRTH1933
1934,BIRTH1934
1935,BIRTH1935
1936,BIRTH1936
1937,BIRTH1937
1938,BIRTH1938
1939,BIRTH1939
1940,BIRTH1940
1941,BIRTH1941
1942,BIRTH1942
1943,BIRTH1943
1944,BIRTH1944
1945,BIRTH1945
1946,BIRTH1946
1947,BIRTH1947
1948,BIRTH1948
1949,BIRTH1949
1950,BIRTH1950
1951,BIRTH1951
1952,BIRTH1952
1953,BIRTH1953
1954,BIRTH1954
1955,BIRTH1955
1956,BIRTH1956
1958,BIRTH1958
1959,BIRTH1959
1960,BIRTH1960
1961,BIRTH1961
1962,BIRTH1962
1963,BIRTH1963
1964,BIRTH1964
1965,BIRTH1965
1966,BIRTH1966
1967,BIRTH1967
1968,BIRTH1968
1969,BIRTH1969
1971,BIRTH1971
1973,BIRTH1973
1974,BIRTH1974
1975,BIRTH1975
1976,BIRTH1976
1977,BIRTH1977
1978,BIRTH1978
1979,BIRTH1979
1980,BIRTH1980
1981,BIRTH1981
1984,BIRTH1984
1985,BIRTH1985
1988,BIRTH1988
A1959,BIRTHA1959
D1943,BIRTHD1943
L1943,BIRTHL1943
L1956,BIRTHL1956
M1952,BIRTHM1952
P1945,BIRTHP1945
R1937,BIRTHR1937
Y1963,BIRTHY1963
