deal_id,deal_nbr
AA4986103   ,BB4498122   
AB1784354   ,BC0878807   
AB6922163   ,BC3586471   
AB7494987   ,BC5121493   
AC8381941   ,BC5210391   
AD2412221   ,BC5517973   
AD3401407   ,BD0249448   
AH3376123   ,BF4147888   
AM5555555   ,BF4210807   
AM7485786   ,BF6666789   
AM8125761   ,BG5190575   
AM8875900   ,BH0241151   
AN2973661   ,BH4170647   
AN3034939   ,BK0291005   
AO3399424   ,BK2915429   
AP4408387   ,BK6269509   
AS6098633   ,BL1622148   
AS9767192   ,BL2476073   
AV3351361   ,BL5828112   
AZ2938554   ,BL6903389   
BA0226565   ,BM0746062   
BA1856852   ,BM3892379   
BA1908120   ,BM6124680   
BB1326342   ,BP1009631   
BB3121198   ,BP7438802   
BB3568308   ,BR4154162   
BH4170647   ,AO3399424   
BK0291005   ,AP4408387   
BK2915429   ,AS6098633   
BK6269509   ,AS9767192   
BL1622148   ,AV3351361   
BL2476073   ,AZ2938554   
BL5828112   ,BA0226565   
